cm_id,example_id,relation,subrelation,field,context,sent_context,CM,relation_presence,subrelation_presence,POS_Tags,NER_Tags,Lemmas,Dependencies,relation_presence_id,subrelation_presence_id
M01,0,meronymie,parties du même genre,law,"1. Si la solicitud se hubiera realizado en la debida forma y los libros reuniesen los requisitos establecidos por la Ley y este Reglamento , el Registrador procederá a","si la solicitud se hubiera realizado en la debida forma y los libros reuniesen los requisitos establecidos por la ley y este reglamento , el registrador procederá a",los libros reuniesen los requisitos,non,not_applicable,"[('los', 'DET'), ('libros', 'NOUN'), ('reuniesen', 'VERB'), ('los', 'DET'), ('requisitos', 'NOUN')]",[],"[('los', 'el'), ('libros', 'libro'), ('reuniesen', 'reunir'), ('los', 'el'), ('requisitos', 'requisito')]","[('los', 2, 'det'), ('libros', 3, 'nsubj'), ('reuniesen', 0, 'root'), ('los', 5, 'det'), ('requisitos', 3, 'obj')]",1,2
M01,1,meronymie,parties du même genre,environment,"a el Plan_de_Minimización . Resumen de la información de entrada y salida El equipo auditor agrupó la información de las entradas de materiales y las salidas de productos , subproductos ,","resumen de la información de entrada y salida el equipo auditor agrupó la información de las entradas de materiales y las salidas de productos , subproductos ,",el equipo auditor agrupó la información de,non,not_applicable,"[('El', 'DET'), ('equipo', 'NOUN'), ('auditor', 'ADJ'), ('agrupó', 'VERB'), ('la', 'DET'), ('información', 'NOUN'), ('de', 'ADP')]",[],"[('El', 'el'), ('equipo', 'equipo'), ('auditor', 'auditor'), ('agrupó', 'agrupar'), ('la', 'el'), ('información', 'información'), ('de', 'de')]","[('El', 2, 'det'), ('equipo', 4, 'nsubj'), ('auditor', 2, 'amod'), ('agrupó', 0, 'root'), ('la', 6, 'det'), ('información', 4, 'obj'), ('de', 4, 'punct')]",1,2
M01,2,meronymie,parties du même genre,linguistics,sido motivo de numerosas discusiones . Engelkamp ( 1983:25 ) considera que el hablante une la referencia a el concepto de diferentes formas : el sujeto reconoce características apreciables a_través_de,engelkamp ( 1983:25 ) considera que el hablante une la referencia al concepto de diferentes formas : el sujeto reconoce características apreciables a_través_de,el hablante une la referencia a,non,not_applicable,"[('el', 'DET'), ('hablante', 'NOUN'), ('une', 'VERB'), ('la', 'DET'), ('referencia', 'NOUN'), ('a', 'ADP')]",[],"[('el', 'el'), ('hablante', 'hablante'), ('une', 'unir'), ('la', 'el'), ('referencia', 'referencia'), ('a', 'a')]","[('el', 2, 'det'), ('hablante', 3, 'nsubj'), ('une', 0, 'root'), ('la', 5, 'det'), ('referencia', 3, 'obj'), ('a', 3, 'punct')]",1,2
M01,3,meronymie,parties du même genre,environment,mediante la metodología de APDRG . Esto se debe básicamente a que los ACGs agrupan los CIE10 en grupos homogéneos según el consumo de recursos en relación con AP . En,esto se debe básicamente a que los acgs agrupan los cie10 en grupos homogéneos según el consumo de recursos en relación con ap .,los acgs agrupan los cie10 en grupos,oui,oui,"[('los', 'DET'), ('ACGs', 'PROPN'), ('agrupan', 'VERB'), ('los', 'DET'), ('CIE10', 'PROPN'), ('en', 'ADP'), ('grupos', 'NOUN')]","[('ACGs', 'ORG'), ('CIE10', 'MISC')]","[('los', 'el'), ('ACGs', 'acgs'), ('agrupan', 'agrupar'), ('los', 'el'), ('CIE10', 'cie10'), ('en', 'en'), ('grupos', 'grupo')]","[('los', 2, 'det'), ('ACGs', 3, 'nsubj'), ('agrupan', 0, 'root'), ('los', 5, 'det'), ('CIE10', 3, 'obj'), ('en', 7, 'case'), ('grupos', 3, 'obl')]",0,0
M01,4,meronymie,parties du même genre,environment,. Las turbinas están asociadas a los alternadores y los reguladores . El alternador Uniendo el árbol de la turbina a un embrague de acoplamiento crea corriente alterna . El,el alternador uniendo el árbol de la turbina a un embrague de acoplamiento crea corriente alterna .,el alternador uniendo el árbol de,non,not_applicable,"[('El', 'DET'), ('alternador', 'NOUN'), ('Uniendo', 'VERB'), ('el', 'DET'), ('árbol', 'NOUN'), ('de', 'ADP')]",[],"[('El', 'el'), ('alternador', 'alternador'), ('Uniendo', 'uner'), ('el', 'el'), ('árbol', 'árbol'), ('de', 'de')]","[('El', 2, 'det'), ('alternador', 3, 'nsubj'), ('Uniendo', 0, 'root'), ('el', 5, 'det'), ('árbol', 3, 'obj'), ('de', 3, 'punct')]",1,2
M01,5,meronymie,parties du même genre,general,detuvieron en Praga . Yo lo recuperé como signo de honor . Una guía multimedia agrupa los Reales_Sitios ARACELI ARIAS Fomentar el conocimiento y la valoración de el patrimonio histórico y,una guía multimedia agrupa los reales_sitios araceli arias fomentar el conocimiento y la valoración del patrimonio histórico y,una guía multimedia agrupa los reales_sitios araceli,oui,oui+,"[('Una', 'DET'), ('guía', 'NOUN'), ('multimedia', 'ADJ'), ('agrupa', 'VERB'), ('los', 'DET'), ('Reales', 'PROPN'), ('_Sitios', 'PROPN'), ('ARACELI', 'PROPN')]","[('Reales_Sitios ARACELI', 'MISC')]","[('Una', 'uno'), ('guía', 'guía'), ('multimedia', 'multimedia'), ('agrupa', 'agrupar'), ('los', 'el'), ('Reales', 'Reales'), ('_Sitios', '_Sitios'), ('ARACELI', 'araceli')]","[('Una', 2, 'det'), ('guía', 4, 'nsubj'), ('multimedia', 2, 'amod'), ('agrupa', 0, 'root'), ('los', 6, 'det'), ('Reales', 4, 'obj'), ('_Sitios', 6, 'appos'), ('ARACELI', 6, 'appos')]",0,3
M01,6,meronymie,parties du même genre,medicine,"( o valor xxx ) . Supongamos , además , que , una vez unidos los extremos para adoptar una forma circular , se permitiera a la molécula adoptar la","supongamos , además , que , una vez unidos los extremos para adoptar una forma circular , se permitiera a la molécula adoptar la",una vez unidos los extremos para,oui,oui,"[('una', 'DET'), ('vez', 'NOUN'), ('unidos', 'ADJ'), ('los', 'DET'), ('extremos', 'NOUN'), ('para', 'ADP')]",[],"[('una', 'uno'), ('vez', 'vez'), ('unidos', 'unido'), ('los', 'el'), ('extremos', 'extremo'), ('para', 'para')]","[('una', 2, 'det'), ('vez', 3, 'obl'), ('unidos', 0, 'root'), ('los', 5, 'det'), ('extremos', 3, 'nsubj'), ('para', 5, 'amod')]",0,0
M01,7,meronymie,parties du même genre,medicine,"y la terminología utilizada en la elaboración de los árboles genealógicos . Una vez reunida la información sobre la herencia de un rasgo en varias generaciones de una familia ,","una vez reunida la información sobre la herencia de un rasgo en varias generaciones de una familia ,",una vez reunida la información sobre,non,not_applicable,"[('Una', 'DET'), ('vez', 'NOUN'), ('reunida', 'ADJ'), ('la', 'DET'), ('información', 'NOUN'), ('sobre', 'ADP')]",[],"[('Una', 'uno'), ('vez', 'vez'), ('reunida', 'reunido'), ('la', 'el'), ('información', 'información'), ('sobre', 'sobre')]","[('Una', 2, 'det'), ('vez', 3, 'obl'), ('reunida', 0, 'root'), ('la', 5, 'det'), ('información', 3, 'nsubj'), ('sobre', 5, 'amod')]",1,2
M01,8,meronymie,parties du même genre,medicine,". Si este paso se realiza con éxito , otras enzimas de el VIH unen el ADN en los cromosomas de la célula invadida , y allí el ADN integrado","si este paso se realiza con éxito , otras enzimas del vih unen el adn en los cromosomas de la célula invadida , y allí el adn integrado",el vih unen el adn en,oui,oui,"[('el', 'DET'), ('VIH', 'PROPN'), ('unen', 'VERB'), ('el', 'DET'), ('ADN', 'PROPN'), ('en', 'ADP')]","[('VIH', 'MISC'), ('ADN', 'MISC')]","[('el', 'el'), ('VIH', 'VIH'), ('unen', 'unir'), ('el', 'el'), ('ADN', 'adn'), ('en', 'en')]","[('el', 2, 'det'), ('VIH', 3, 'nsubj'), ('unen', 0, 'root'), ('el', 5, 'det'), ('ADN', 3, 'obj'), ('en', 3, 'advmod')]",0,0
M01,9,meronymie,parties du même genre,law,colecciones declaradas de interés nacional o catalogadas que sólo siendo consideradas como una unidad reúnan los valores propios de estos bienes no pueden ser disgregadas por sus titulares o,colecciones declaradas de interés nacional o catalogadas que sólo siendo consideradas como una unidad reúnan los valores propios de estos bienes no pueden ser disgregadas por sus titulares o,una unidad reúnan los valores,non,not_applicable,"[('una', 'DET'), ('unidad', 'NOUN'), ('reúnan', 'VERB'), ('los', 'DET'), ('valores', 'NOUN')]",[],"[('una', 'uno'), ('unidad', 'unidad'), ('reúnan', 'reunir'), ('los', 'el'), ('valores', 'valor')]","[('una', 2, 'det'), ('unidad', 3, 'nsubj'), ('reúnan', 0, 'root'), ('los', 5, 'det'), ('valores', 3, 'obj')]",1,2
