cm_id,example_id,relation,subrelation,field,context,CM,target_tags,target_tokens,all_annotations,auto_adjudication,relation_presence,sousrelations_identified,nb_subrelations_identified,subrelation_presence,comment,comment_A2,comment_adj,presence_extracted,POS_Tags,NER_Tags,Lemmas,Dependencies
M01,0,meronymie,Parties du même genre,law,"1. Si la solicitud se hubiera realizado en la debida forma y los libros reuniesen los requisitos establecidos por la Ley y este Reglamento , el Registrador procederá a",los libros reuniesen los requisitos,"['AMP', 'N5-MP', 'VJA3P-', 'AMP', 'N5-MP']","['los', 'libros', 'reuniesen', 'los', 'requisitos']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('los', 'DET'), ('libros', 'NOUN'), ('reuniesen', 'VERB'), ('los', 'DET'), ('requisitos', 'NOUN')]",[],"[('los', 'el'), ('libros', 'libro'), ('reuniesen', 'reunir'), ('los', 'el'), ('requisitos', 'requisito')]","[('los', 2, 'det'), ('libros', 3, 'nsubj'), ('reuniesen', 0, 'root'), ('los', 5, 'det'), ('requisitos', 3, 'obj')]"
M01,1,meronymie,Parties du même genre,environment,"a el Plan_de_Minimización . Resumen de la información de entrada y salida El equipo auditor agrupó la información de las entradas de materiales y las salidas de productos , subproductos ,",El equipo auditor agrupó la información de,"['AMS', 'N5-MS', 'N5-MS', 'VDP3S-', 'AFS', 'N5-FS', 'P']","['El', 'equipo', 'auditor', 'agrupó', 'la', 'información', 'de']","['non', 'oui', nan, 'oui']",1.0,non,['Parties du même genre'],1.0,,,,sens transitive,moyenne-élevée,"[('El', 'DET'), ('equipo', 'NOUN'), ('auditor', 'ADJ'), ('agrupó', 'VERB'), ('la', 'DET'), ('información', 'NOUN'), ('de', 'ADP')]",[],"[('El', 'el'), ('equipo', 'equipo'), ('auditor', 'auditor'), ('agrupó', 'agrupar'), ('la', 'el'), ('información', 'información'), ('de', 'de')]","[('El', 2, 'det'), ('equipo', 4, 'nsubj'), ('auditor', 2, 'amod'), ('agrupó', 0, 'root'), ('la', 6, 'det'), ('información', 4, 'obj'), ('de', 4, 'punct')]"
M01,2,meronymie,Parties du même genre,linguistics,sido motivo de numerosas discusiones . Engelkamp ( 1983:25 ) considera que el hablante une la referencia a el concepto de diferentes formas : el sujeto reconoce características apreciables a_través_de,el hablante une la referencia a,"['AMS', 'N5-6S', 'VDR3S-', 'AFS', 'N5-FS', 'P']","['el', 'hablante', 'une', 'la', 'referencia', 'a']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('el', 'DET'), ('hablante', 'NOUN'), ('une', 'VERB'), ('la', 'DET'), ('referencia', 'NOUN'), ('a', 'ADP')]",[],"[('el', 'el'), ('hablante', 'hablante'), ('une', 'unir'), ('la', 'el'), ('referencia', 'referencia'), ('a', 'a')]","[('el', 2, 'det'), ('hablante', 3, 'nsubj'), ('une', 0, 'root'), ('la', 5, 'det'), ('referencia', 3, 'obj'), ('a', 3, 'punct')]"
M01,3,meronymie,Parties du même genre,environment,mediante la metodología de APDRG . Esto se debe básicamente a que los ACGs agrupan los CIE10 en grupos homogéneos según el consumo de recursos en relación con AP . En,los ACGs agrupan los CIE10 en grupos,"['AMP', 'N4666', 'VDR3P-', 'AMP', 'N4666', 'P', 'N5-MP']","['los', 'ACGs', 'agrupan', 'los', 'CIE10', 'en', 'grupos']","['oui', 'oui', 'oui', 'oui']",5.0,oui,['Parties du même genre'],1.0,oui,,,,moyenne-élevée,"[('los', 'DET'), ('ACGs', 'PROPN'), ('agrupan', 'VERB'), ('los', 'DET'), ('CIE10', 'PROPN'), ('en', 'ADP'), ('grupos', 'NOUN')]","[('ACGs', 'ORG'), ('CIE10', 'MISC')]","[('los', 'el'), ('ACGs', 'acgs'), ('agrupan', 'agrupar'), ('los', 'el'), ('CIE10', 'cie10'), ('en', 'en'), ('grupos', 'grupo')]","[('los', 2, 'det'), ('ACGs', 3, 'nsubj'), ('agrupan', 0, 'root'), ('los', 5, 'det'), ('CIE10', 3, 'obj'), ('en', 7, 'case'), ('grupos', 3, 'obl')]"
M01,4,meronymie,Parties du même genre,environment,. Las turbinas están asociadas a los alternadores y los reguladores . El alternador Uniendo el árbol de la turbina a un embrague de acoplamiento crea corriente alterna . El,El alternador Uniendo el árbol de,"['AMS', 'N5-MS', 'VG----', 'AMS', 'N5-MS', 'P']","['El', 'alternador', 'Uniendo', 'el', 'árbol', 'de']","['incertaine', 'non', nan, nan]",2.0,non,['Parties du même genre'],1.0,,,,sens transitive,moyenne-élevée,"[('El', 'DET'), ('alternador', 'NOUN'), ('Uniendo', 'VERB'), ('el', 'DET'), ('árbol', 'NOUN'), ('de', 'ADP')]",[],"[('El', 'el'), ('alternador', 'alternador'), ('Uniendo', 'uner'), ('el', 'el'), ('árbol', 'árbol'), ('de', 'de')]","[('El', 2, 'det'), ('alternador', 3, 'nsubj'), ('Uniendo', 0, 'root'), ('el', 5, 'det'), ('árbol', 3, 'obj'), ('de', 3, 'punct')]"
M01,5,meronymie,Parties du même genre,general,detuvieron en Praga . Yo lo recuperé como signo de honor . Una guía multimedia agrupa los Reales_Sitios ARACELI ARIAS Fomentar el conocimiento y la valoración de el patrimonio histórico y,Una guía multimedia agrupa los Reales_Sitios ARACELI,"['E6--FS', 'N5-6S', 'N5-M6', 'VDR3S-', 'AMP', 'N4666', 'N5-MS']","['Una', 'guía', 'multimedia', 'agrupa', 'los', 'Reales_Sitios', 'ARACELI']","['oui', 'oui', 'oui', 'oui']",5.0,oui,"['Parties non organisées', 'Parties du même genre']",2.0,oui+,,,,moyenne-élevée,"[('Una', 'DET'), ('guía', 'NOUN'), ('multimedia', 'ADJ'), ('agrupa', 'VERB'), ('los', 'DET'), ('Reales', 'PROPN'), ('_Sitios', 'PROPN'), ('ARACELI', 'PROPN')]","[('Reales_Sitios ARACELI', 'MISC')]","[('Una', 'uno'), ('guía', 'guía'), ('multimedia', 'multimedia'), ('agrupa', 'agrupar'), ('los', 'el'), ('Reales', 'Reales'), ('_Sitios', '_Sitios'), ('ARACELI', 'araceli')]","[('Una', 2, 'det'), ('guía', 4, 'nsubj'), ('multimedia', 2, 'amod'), ('agrupa', 0, 'root'), ('los', 6, 'det'), ('Reales', 4, 'obj'), ('_Sitios', 6, 'appos'), ('ARACELI', 6, 'appos')]"
M01,6,meronymie,Parties du même genre,medicine,"( o valor xxx ) . Supongamos , además , que , una vez unidos los extremos para adoptar una forma circular , se permitiera a la molécula adoptar la",una vez unidos los extremos para,"['E6--FS', 'N5-FS', 'VC--PM', 'AMP', 'N5-MP', 'P']","['una', 'vez', 'unidos', 'los', 'extremos', 'para']","['incertaine', 'non', nan, nan]",2.0,oui,['Parties du même genre'],1.0,oui,,,"meronymie dans la phrase (processus), pas dans toutes les elements du CM",moyenne-élevée,"[('una', 'DET'), ('vez', 'NOUN'), ('unidos', 'ADJ'), ('los', 'DET'), ('extremos', 'NOUN'), ('para', 'ADP')]",[],"[('una', 'uno'), ('vez', 'vez'), ('unidos', 'unido'), ('los', 'el'), ('extremos', 'extremo'), ('para', 'para')]","[('una', 2, 'det'), ('vez', 3, 'obl'), ('unidos', 0, 'root'), ('los', 5, 'det'), ('extremos', 3, 'nsubj'), ('para', 5, 'amod')]"
M01,7,meronymie,Parties du même genre,medicine,"y la terminología utilizada en la elaboración de los árboles genealógicos . Una vez reunida la información sobre la herencia de un rasgo en varias generaciones de una familia ,",Una vez reunida la información sobre,"['E6--FS', 'N5-FS', 'VC--SF', 'AFS', 'N5-FS', 'P']","['Una', 'vez', 'reunida', 'la', 'información', 'sobre']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('Una', 'DET'), ('vez', 'NOUN'), ('reunida', 'ADJ'), ('la', 'DET'), ('información', 'NOUN'), ('sobre', 'ADP')]",[],"[('Una', 'uno'), ('vez', 'vez'), ('reunida', 'reunido'), ('la', 'el'), ('información', 'información'), ('sobre', 'sobre')]","[('Una', 2, 'det'), ('vez', 3, 'obl'), ('reunida', 0, 'root'), ('la', 5, 'det'), ('información', 3, 'nsubj'), ('sobre', 5, 'amod')]"
M01,8,meronymie,Parties du même genre,medicine,". Si este paso se realiza con éxito , otras enzimas de el VIH unen el ADN en los cromosomas de la célula invadida , y allí el ADN integrado",el VIH unen el ADN en,"['AMS', 'N4666', 'VDR3P-', 'AMS', 'N4666', 'P']","['el', 'VIH', 'unen', 'el', 'ADN', 'en']","['oui', 'oui', 'incertaine', 'oui']",4.0,oui,['Parties du même genre'],1.0,oui,,,l’un des elements n’est pas claire ‘otros‘,moyenne-élevée,"[('el', 'DET'), ('VIH', 'PROPN'), ('unen', 'VERB'), ('el', 'DET'), ('ADN', 'PROPN'), ('en', 'ADP')]","[('VIH', 'MISC'), ('ADN', 'MISC')]","[('el', 'el'), ('VIH', 'VIH'), ('unen', 'unir'), ('el', 'el'), ('ADN', 'adn'), ('en', 'en')]","[('el', 2, 'det'), ('VIH', 3, 'nsubj'), ('unen', 0, 'root'), ('el', 5, 'det'), ('ADN', 3, 'obj'), ('en', 3, 'advmod')]"
M01,9,meronymie,Parties du même genre,law,colecciones declaradas de interés nacional o catalogadas que sólo siendo consideradas como una unidad reúnan los valores propios de estos bienes no pueden ser disgregadas por sus titulares o,una unidad reúnan los valores,"['E6--FS', 'N5-FS', 'VJR3P-', 'AMP', 'N5-MP']","['una', 'unidad', 'reúnan', 'los', 'valores']","['non', 'non', nan, nan]",0.0,non,['Parties du même genre'],1.0,,,,,moyenne-élevée,"[('una', 'DET'), ('unidad', 'NOUN'), ('reúnan', 'VERB'), ('los', 'DET'), ('valores', 'NOUN')]",[],"[('una', 'uno'), ('unidad', 'unidad'), ('reúnan', 'reunir'), ('los', 'el'), ('valores', 'valor')]","[('una', 2, 'det'), ('unidad', 3, 'nsubj'), ('reúnan', 0, 'root'), ('los', 5, 'det'), ('valores', 3, 'obj')]"
